"State Code","State","Total Cereals","Total pulses","Total Foodgrains","Total Oilseeds","Total area"
"IN-AP","ANDHRA PRADESH",78.9,1.3,57.7,20.7,47.4
"IN-AR","ARUNACHAL PRADESH",26.7,,25.6,,19
"IN-AS","ASSAM",4.5,2.8,4.5,14.1,5.3
"IN-BR","BIHAR",66.5,2.8,60.7,39.5,58.4
"IN-CG","CHHATTISGARH",30.8,5.8,26.3,5.8,25.9
"IN-GA","GOA",32.4,0,26.4,10.5,21.9
"IN-GJ","GUJARAT",47.2,10.8,39.2,24.8,39.5
"IN-HR","HARYANA",89.3,34.5,87.2,77.6,85.4
"IN-HP","HIMACHAL PRADESH",19.2,14.8,19,20.5,19.3
"IN-JK","JAMMU & KASHMIR",38.1,12.2,37.3,68.8,40.7
"IN-JH","JHARKHAND",8.4,2.1,7.4,8.7,9.9
"IN-KA","KARNATAKA",34.2,6.4,25.5,23.5,29
"IN-KL","KERALA",64.9,,63.3,20.2,16.8
"IN-MP","MADHYA PRADESH",47.8,35.4,43.4,6.8,32.5
"IN-MH","MAHARASHTRA",20.7,10.7,18,6.1,19.7
"IN-MN","MANIPUR",30.2,,28.8,,22.9
"IN-ML","MEGHALAYA",32.8,,31.9,28.9,27.1
"IN-MZ","MIZORAM",24.1,,22.3,45.5,19.2
"IN-NL","NAGALAND",25.8,,22.5,53.6,26.2
"IN-OR","ORISSA",40,8.3,32,14.8,30.9
"IN-PB","PUNJAB",97.7,84.1,97.7,85.1,97.2
"IN-RJ","RAJASTHAN",32.4,14.1,27.8,66.7,37
"IN-SK","SIKKIM",13.3,,12.1,,9.4
"IN-TN","TAMIL NADU",72.3,4,60.7,52.3,56.6
"IN-TR","TRIPURA",40.6,14,39.8,2.2,36.5
"IN-UT","UTTARAKHAND",42.2,7.5,40.3,29.4,45.7
"IN-UP","UTTAR PRADESH",80.8,24.9,73.2,53.1,74.1
"IN-WB","WEST BENGAL",49.5,14.2,48.3,68.9,56.4
