State,Total Cereals,Total pulses,Total Foodgrains,Total Oil seeds,Total area
ANDHRA PRADESH,78.9,1.3,57.7,20.7,47.4
ARUNACHAL PRADESH,26.7,,25.6,,19
ASSAM,4.5,2.8,4.5,14.1,5.3
BIHAR,66.5,2.8,60.7,39.5,58.4
CHHATTISGARH,30.8,5.8,26.3,5.8,25.9
GOA,32.4,0,26.4,10.5,21.9
GUJARAT,47.2,10.8,39.2,24.8,39.5
HARYANA,89.3,34.5,87.2,77.6,85.4
HIMACHAL  PRADESH,19.2,14.8,19,20.5,19.3
JAMMU & KASHMIR,38.1,12.2,37.3,68.8,40.7
JHARKHAND,8.4,2.1,7.4,8.7,9.9
KARNATAKA,34.2,6.4,25.5,23.5,29
KERALA,64.9,,63.3,20.2,16.8
MADHYA PRADESH,47.8,35.4,43.4,6.8,32.5
MAHARASHTRA,20.7,10.7,18,6.1,19.7
MANIPUR,30.2,,28.8,,22.9
MEGHALAYA,32.8,,31.9,28.9,27.1
MIZORAM,24.1,,22.3,45.5,19.2
NAGALAND,25.8,,22.5,53.6,26.2
ORISSA,40,8.3,32,14.8,30.9
PUNJAB,97.7,84.1,97.7,85.1,97.2
RAJASTHAN,32.4,14.1,27.8,66.7,37
SIKKIM,13.3,,12.1,,9.4
TAMIL NADU,72.3,4,60.7,52.3,56.6
TRIPURA,40.6,14,39.8,2.2,36.5
UTTARAKHAND,42.2,7.5,40.3,29.4,45.7
UTTAR PRADESH,80.8,24.9,73.2,53.1,74.1
WEST BENGAL,49.5,14.2,48.3,68.9,56.4
ALL INDIA,53.7,15.4,46.3,28.3,44.3
